0	00001	00001	0,0,1000,1000	#000000
1	00002	00001	10,20,100,200	#205080
1	00003	00001	50,80,100	#902040
0	00004	00001	600,700,900,1000	#00ff00
1	00005	00004	0,10,70,80	#00a080
1	00006	00004	0,0,0,100,50,200	#d0d0d0
1	00007	00001	100,100,0,0	#902040
1	00008	00001	100,100,200,200	#902040
1	00009	00004	0,0,50	#902040
0	00010	00004	200,0,300,300	#205080
1	00011	00010	0,0,50,0,75,25,50,100,0,100	#d0d0d0
1	00012	00010	100,0,100,100	#902040
1	00013	00010	0,0,0,0,0	#902040
1	00014	00004	301,300,10,20	#123456
